rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
19/03/2024 13:24,2023 - 2023,1,1,London Area Airports,GATWICK,35428548,38093878,40260068,43114888,45553837,46081327,46574786,10171867,6260072,32831088,40894242,24.559508963
19/03/2024 13:24,2023 - 2023,1,1,London Area Airports,HEATHROW,72331690,73371096,74953708,75671863,77987524,80100311,80886589,22109550,19392178,61596618,79149042,28.495759296
19/03/2024 13:24,2023 - 2023,1,1,London Area Airports,LONDON CITY,3379753,3647824,4319301,4538735,4530439,4820403,5122271,908105,720580,3009313,3429684,13.969002227
19/03/2024 13:24,2023 - 2023,1,1,London Area Airports,LUTON,9693487,10481501,12262581,14642282,15989225,16766552,18213901,5550401,4673656,13322236,16399866,23.101452339
19/03/2024 13:24,2023 - 2023,1,1,London Area Airports,SOUTHEND,969912,1102260,900634,874411,1091616,1480139,2035535,401143,94367,89361,146072,63.462808160
19/03/2024 13:24,2023 - 2023,1,1,London Area Airports,STANSTED,17848871,19958047,22513443,24318395,25902618,27995121,28124292,7536869,7145802,23289652,27951116,20.015172404
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,ABERDEEN,3440177,3723411,3469328,2955325,3090272,3055995,2912743,994076,1075639,1959883,2229918,13.778118388
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BARRA,9410,10521,10658,12808,14913,14706,14599,6140,9954,13102,12849,-1.931002900
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2541703,2555111,2692713,2665139,2559846,2510294,2455259,542523,812397,1655156,2115153,27.791761018
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BELFAST INTERNATIONAL,4022469,4031685,4389861,5147399,5836735,6268953,6278374,1746951,2327139,4818214,5956888,23.632698755
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BENBECULA,30628,31190,32125,32439,33258,35404,34656,12713,20320,30230,30660,1.422428052
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BIGGIN HILL,326,497,644,627,1318,1674,2262,1845,2612,4002,6495,62.293853073
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BIRMINGHAM,9114226,9698488,10180059,11639399,12982180,12454642,12646456,2865845,2476584,9620727,11479335,19.318789526
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BLACKPOOL,262630,223998,33494,36269,23391,19321,15213,11412,0,9428,14365,52.365294866
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BOURNEMOUTH,659021,660374,705433,666219,693977,674972,803127,175907,200488,734344,950028,29.370976000
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,BRISTOL,6125149,6333006,6781195,7604147,8233387,8696653,8959679,2192725,2085745,7945038,9911879,24.755589589
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,CAMBRIDGE,9249,20663,5799,591,0,0,0,0,0,0,0,
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,CAMPBELTOWN,9427,9331,8288,8472,8726,8472,7975,2108,2881,5812,7082,21.851342051
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,CARDIFF WALES,1057073,1019545,1158383,1344273,1464180,1579204,1654920,219197,122729,857397,837252,-2.349553357
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),384973,350257,284482,290671,193981,185843,203777,80494,73024,163379,154486,-5.443172011
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,DONCASTER SHEFFIELD,689761,724252,856592,1255592,1335590,1222295,1407862,338586,309326,959321,0,-100.000000000
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,DUNDEE,27560,22069,21942,37632,21327,21185,20917,8647,19658,36882,32862,-10.899625834
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4327556,4506791,4446219,4651373,4877545,4873757,4674338,900832,828224,3186367,3932497,23.416323355
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,EDINBURGH,9775026,10158906,11113386,12347826,13409295,14291811,14733966,3473652,3023614,11248459,14395463,27.977201144
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,EXETER,737919,766572,821165,847017,908260,931182,1021705,147921,126837,382198,433067,13.309593457
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,FARNBOROUGH,0,0,0,0,0,0,0,0,0,0,38827,
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,GLASGOW,7358099,7708867,8709531,9343147,9894845,9652516,8843214,1944981,2071008,6516029,7355987,12.890642445
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,GLOUCESTERSHIRE,14129,15141,12253,12329,1488,0,0,5,0,0,0,
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,HUMBERSIDE,234641,237329,221190,201279,190490,191828,201818,45075,31503,92280,136976,48.435197226
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,INVERNESS,607236,611373,667560,782245,874486,892971,937728,239987,357141,699982,801338,14.479800909
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,ISLAY,25754,27412,28993,27973,32392,32508,34771,8693,12761,26148,28926,10.624139514
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),89170,90944,94718,95068,91852,92195,93927,41766,72291,86846,69404,-20.083826544
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,KIRKWALL,149574,150877,149524,152727,164484,169683,161516,54638,75777,123055,134123,8.994352119
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,LANDS END (ST JUST),46299,44284,53704,64292,58834,63862,63847,34556,53105,63629,54336,-14.604975719
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,LEEDS BRADFORD,3314395,3263247,3445291,3611458,4074500,4037686,3992209,751048,734830,3287968,3989405,21.333449717
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,LERWICK (TINGWALL),3784,3591,4175,4438,4139,3881,3309,1227,2300,2886,2913,0.935550936
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),4185757,3984023,4295763,4776996,4896603,5042312,5043975,1337669,1165508,3490655,4193076,20.122899570
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,LYDD,670,1194,1134,509,865,284,39,0,31,0,7,
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,MANCHESTER,20680467,21950223,23094593,25598827,27773303,28254970,29367477,7029384,6082905,23340418,28077659,20.296298892
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,MANSTON (KENT INT),40143,12385,0,0,0,0,0,0,0,0,0,
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,NEWCASTLE,4415262,4512976,4559841,4804958,5297952,5332238,5198952,1061146,1022540,4127035,4818885,16.763851046
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,NEWQUAY,174632,219167,250278,370272,459924,456511,461469,67877,105479,244674,408860,67.103983259
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,NORWICH,463029,458931,459664,506007,528153,536578,530328,120258,127208,319040,357852,12.165245737
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,OXFORD (KIDLINGTON),6840,1194,166,383,90,100,0,514,556,120,2,-98.333333333
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,PRESTWICK,1144568,912399,609589,671661,695669,680958,638975,90608,77807,444433,523949,17.891560708
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,SCATSTA,298308,279799,253526,162100,170847,174934,109480,35624,0,0,0,
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,SHOREHAM,732,452,490,165,0,0,0,0,0,0,0,
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,SOUTHAMPTON,1722443,1829575,1775638,1946938,2069605,1990930,1781308,296094,263131,631329,754678,19.537990493
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,STORNOWAY,119904,127237,124984,124338,132009,133375,129500,43093,60784,101121,105256,4.089160511
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,SUMBURGH,209747,262626,270126,249050,256393,245766,267420,113951,182320,246390,258478,4.906043265
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,159311,142274,140373,131487,128007,139549,147824,37141,72151,173006,226326,30.819740356
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,TIREE,8328,9026,9564,11210,12137,12285,11944,5221,8196,10982,11707,6.601711892
19/03/2024 13:24,2023 - 2023,1,3,Other UK Airports,WICK JOHN O GROATS,33091,27633,24152,20021,17672,16756,12892,1913,0,6935,10719,54.563806777
19/03/2024 13:24,2023 - 2023,2,4,Non UK Reporting Airports,ALDERNEY,62855,61317,59843,57595,54760,53343,53155,28048,41279,50924,49546,-2.705993245
19/03/2024 13:24,2023 - 2023,2,4,Non UK Reporting Airports,GUERNSEY,856731,860213,857775,839717,809215,804536,855396,184503,250462,653052,694129,6.290004471
19/03/2024 13:24,2023 - 2023,2,4,Non UK Reporting Airports,ISLE OF MAN,738522,728591,780857,790761,797374,836656,854676,162898,182371,551941,638619,15.704214762
19/03/2024 13:24,2023 - 2023,2,4,Non UK Reporting Airports,JERSEY,1429378,1474613,1532492,1591976,1614221,1646423,1728973,420195,678067,1335974,1468802,9.942409059

