Period and Financial year,Reporting Period,Days in period,Period beginning,Period ending,Bus,Underground,DLR,Tram,Overground,London Cable Car,TfL Rail
01_10/11,1,31,01-04-10,01-05-10,189.1,90.5,6.3,2.3,,,
02_10/11,2,28,02-05-10,29-05-10,181.6,84.5,5.8,2.2,,,
03_10/11,3,28,30-05-10,26-06-10,175.9,84.3,5.8,2.1,,,
04_10/11,4,28,27-06-10,24-07-10,183.4,86.5,6.1,2.1,,,
05_10/11,5,28,25-07-10,21-08-10,160.4,82.9,5.8,2,,,
06_10/11,6,28,22-08-10,18-09-10,175.8,80.9,5.5,2,,,
07_10/11,7,28,19-09-10,16-10-10,189.8,88.7,6.3,2.3,,,
08_10/11,8,28,17-10-10,13-11-10,179.9,90.3,6.7,2.2,5.6,,
09_10/11,9,28,14-11-10,11-12-10,178.8,90.6,6.4,2.3,5.4,,
10_10/11,10,28,12-12-10,08-01-11,140.1,72.5,4.8,1.8,3.5,,
11_10/11,11,28,09-01-11,05-02-11,183,84.4,6.3,2.1,5.2,,
12_10/11,12,28,06-02-11,05-03-11,177.2,87.8,6.5,2.2,5.2,,
13_10/11,13,26,06-03-11,31-03-11,173.9,83.5,6,2.1,5.8,,
01_11/12,1,30,01-04-11,30-04-11,183.8,91.2,6.4,2.1,6.3,,
02_11/12,2,28,01-05-11,28-05-11,186.1,87.8,6.3,2.2,6.4,,
03_11/12,3,28,29-05-11,25-06-11,181.7,88.9,6.1,2.2,6.9,,
04_11/12,4,28,26-06-11,23-07-11,186.7,92.5,6.4,2.3,7.6,,
05_11/12,5,28,24-07-11,20-08-11,161.1,85.5,6.2,1.9,7.7,,
06_11/12,6,28,21-08-11,17-09-11,173.9,85.3,6.4,2.1,7.7,,
07_11/12,7,28,18-09-11,15-10-11,193.4,93.1,7.5,2.4,8.7,,
08_11/12,8,28,16-10-11,12-11-11,185.2,95.8,7.3,2.3,8.8,,
09_11/12,9,28,13-11-11,10-12-11,189.4,97.1,7.1,2.4,9,,
